name,sex,noc,games,year,city,sport,event,medal,times
Rohullah Nikpai,M,AFG,2008 Summer,2008,Beijing,Taekwondo,Taekwondo Men's Flyweight,Bronze,12
Rohullah Nikpai,M,AFG,2012 Summer,2012,London,Taekwondo,Taekwondo Men's Featherweight,Bronze,13
Jan D. Boersma,M,AHO,1988 Summer,1988,Seoul,Sailing,Sailing Mixed Windsurfer,Silver,8
Mustapha Moussa,M,ALG,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Bronze,5
Mohamed Zaoui,M,ALG,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Middleweight,Bronze,5
Hassiba Boulmerka,F,ALG,1992 Summer,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",Gold,7
Hocine Soltani,M,ALG,1992 Summer,1992,Barcelona,Boxing,Boxing Men's Featherweight,Bronze,7
Noureddine Morceli,M,ALG,1996 Summer,1996,Atlanta,Athletics,"Athletics Men's 1,500 metres",Gold,8
Hocine Soltani,M,ALG,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Lightweight,Gold,8
Mohamed Bahari,M,ALG,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Middleweight,Bronze,8
Nouria Mrah-Benida,F,ALG,2000 Summer,2000,Sydney,Athletics,"Athletics Women's 1,500 metres",Gold,9
Ali Sadi-Sief,M,ALG,2000 Summer,2000,Sydney,Athletics,"Athletics Men's 5,000 metres",Silver,9
Assa Djabir Sad-Guerni,M,ALG,2000 Summer,2000,Sydney,Athletics,Athletics Men's 800 metres,Bronze,9
Abderrahmane Hammad Zaheer,M,ALG,2000 Summer,2000,Sydney,Athletics,Athletics Men's High Jump,Bronze,9
Mohamed Allalou,M,ALG,2000 Summer,2000,Sydney,Boxing,Boxing Men's Light-Welterweight,Bronze,9
Amar Benikhlef,M,ALG,2008 Summer,2008,Beijing,Judo,Judo Men's Middleweight,Silver,11
Soraya Haddad,F,ALG,2008 Summer,2008,Beijing,Judo,Judo Women's Half-Lightweight,Bronze,11
Taoufik Makhloufi,M,ALG,2012 Summer,2012,London,Athletics,"Athletics Men's 1,500 metres",Gold,12
Taoufik Makhloufi,M,ALG,2016 Summer,2016,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Silver,13
Taoufik Makhloufi,M,ALG,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 800 metres,Silver,13
John Thomas Barnett,M,ANZ,1908 Summer,1908,London,Rugby,Rugby Men's Rugby,Gold,1
"Reginald Leslie ""Snowy"" Baker",M,ANZ,1908 Summer,1908,London,Boxing,Boxing Men's Middleweight,Silver,1
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,ANZ,1908 Summer,1908,London,Swimming,Swimming Men's 400 metres Freestyle,Silver,1
"Henry Edward ""Harry"" Kerr",M,ANZ,1908 Summer,1908,London,Athletics,"Athletics Men's 3,500 metres Walk",Bronze,1
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,ANZ,1908 Summer,1908,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,1
"Leslie ""Les"" Boardman",M,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,2
"Sarah Frances ""Fanny"" Durack (-Gately)",F,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Gold,2
Cecil Patrick Healy,M,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,Silver,2
"Wilhelmina ""Mina"" Wylie",F,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Silver,2
Harold Hampton Hardwick,M,ANZ,1912 Summer,1912,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,2
Harold Hampton Hardwick,M,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,Bronze,2
"Anthony Frederick ""Tony"" Wilding",M,ANZ,1912 Summer,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",Bronze,2
Arturo Juan Kenny y Gahan,M,ARG,1924 Summer,1924,Paris,Polo,Polo Men's Polo,Gold,4
Luis ngel Brunetto,M,ARG,1924 Summer,1924,Paris,Athletics,Athletics Men's Triple Jump,Silver,4
Alfredo Copello,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Lightweight,Silver,4
Hctor Eugene Mndez,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Welterweight,Silver,4
Pedro Vicente Ernesto Quartucci,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Featherweight,Bronze,4
Alfredo Jose Antonio Eugenio Porzio,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Heavyweight,Bronze,4
Arturo J. Rodrguez Jurado,M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Heavyweight,Gold,5
"ngel Pedro Victorio ""Vctor"" Avendao",M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Light-Heavyweight,Gold,5
Victoriano Alberto Zorrilla,M,ARG,1928 Summer,1928,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Gold,5
Vctor Peralta,M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Featherweight,Silver,5
Ral Athos Landini Zanicheli,M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Welterweight,Silver,5
Ludovico Bidoglio,M,ARG,1928 Summer,1928,Amsterdam,Football,Football Men's Football,Silver,5
Ral Anganuzzi,M,ARG,1928 Summer,1928,Amsterdam,Fencing,"Fencing Men's Foil, Team",Bronze,5
Juan Carlos Zabala Boyer,M,ARG,1932 Summer,1932,Los Angeles,Athletics,Athletics Men's Marathon,Gold,6
